E(eV),Wavelength(nm),eps1x,eps2x,EELSx,nx,kappax,Rx
3.00686,412.3371224466719,-2.31557,1.84665,0.21051688030654103,0.5684113689334886,1.6243957289813473,0.5540626232497056
3.03407,408.6392205848909,-2.13289,2.03842,0.23418336196400286,0.6393074077829598,1.5942408731575564,0.5109461607474771
3.06128,405.0070558720535,-1.97742,2.22395,0.2511194641686881,0.7065788447006137,1.573745107626535,0.47554819233529816
3.08849,401.4388908495737,-1.84411,2.40056,0.2619717724156523,0.7690922538744387,1.5606450252923194,0.44722317737720985
3.1157,397.93304875308917,-1.7289,2.56733,0.2679807261944994,0.8265296436602451,1.553077992841677,0.42484899003616133
3.14292,394.48665572143096,-1.62868,2.72415,0.2704248954669688,0.8789801507036024,1.5496083715993947,0.4072811831277244
3.17013,391.10068041373694,-1.54108,2.87101,0.27040037044537124,0.9266579423498585,1.5491206996616094,0.3935272096354291
3.19734,387.77233575409554,-1.46406,3.00822,0.26876242542427,0.9699260494354225,1.5507470913638386,0.38274594229706743
3.22455,384.50016281341584,-1.39586,3.13609,0.2661428119900146,1.0091700069917218,1.5537966736390163,0.37425982719399975
3.25176,381.2827514945752,-1.33493,3.2551,0.26298070627447984,1.044812798115527,1.5577431698152289,0.3675298067575778
3.27897,378.11873850629917,-1.27996,3.36585,0.25956556733702113,1.0772757182205148,1.5622045234435618,0.36213954987695196
3.30618,375.0068054370905,-1.22995,3.46899,0.2560769807429009,1.1069394586428876,1.5669285130792052,0.35778022140411303
3.3334,371.9445611087778,-1.18409,3.56503,0.25263281519407055,1.1341161141260858,1.5717217820977263,0.35421795994080413
3.36061,368.93302108843335,-1.14158,3.65425,0.2493220194716546,1.1590585064964845,1.5763872054421975,0.3512608412842582
3.38782,365.9698567220218,-1.10145,3.73707,0.24620189002311216,1.1820657265510897,1.5807369742897632,0.3487366958541874
3.41503,363.05391167866753,-1.06273,3.81408,0.24329763366312748,1.2034614245203477,1.5846291049670091,0.3465035153332508
3.44224,360.184066189458,-1.02449,3.88595,0.24061331059982624,1.2235684586158395,1.5879577365029403,0.34444664143506387
3.46945,357.35923561371396,-0.985786,3.95353,0.23813327817050736,1.2427369956871583,1.5906543434855809,0.34247158785782483
3.49666,354.5783690722003,-0.945706,4.01793,0.2358200134716088,1.261352434171987,1.5927071178316488,0.34050645354960324
3.52388,351.8394496974925,-0.903392,4.08061,0.23361163016410913,1.2798478904994872,1.5941777262325514,0.33850375484029543
3.55109,349.14350241756756,-0.858256,4.1434,0.23141840301631517,1.298672247140463,1.5952446851479742,0.3364557098713086
3.5783,346.4885560182209,-0.810098,4.20876,0.22911151017017145,1.3183164279089135,1.5962632001316441,0.33440609736691584
3.60551,343.8736822252607,-0.759625,4.2797,0.22652470270294361,1.3392100329794376,1.597844958821971,0.3324819861589247
3.63272,341.29798057653767,-0.70915,4.35945,0.22347331778527466,1.3615436050397085,1.6009219182785042,0.33092358520980525
3.65993,338.7605773880921,-0.663028,4.45024,0.2198274432318919,1.3849787358383019,1.6066095041186146,0.3300638377894947
